time,weathercode,temperature_2m_max,temperature_2m_min,precipitation_sum,month-day,city
2008-11-16,3,12.7,8.0,0.0,11.16,7
2008-11-16,3,12.4,6.6,0.0,11.16,1
2008-11-16,3,8.8,3.7,0.0,11.16,8
2008-11-16,3,7.2,3.0,0.0,11.16,4
2008-11-16,1,6.7,0.6,0.0,11.16,2
2008-11-16,3,11.9,5.5,0.0,11.16,9
2008-11-16,3,10.0,3.9,0.0,11.16,5
2008-11-16,51,9.0,4.1,0.1,11.16,3
2008-11-16,51,9.8,4.9,0.1,11.16,6
2008-11-17,53,10.2,4.3,5.1,11.17,6
2008-11-17,53,9.7,1.0,4.3,11.17,4
2008-11-17,53,10.6,8.1,3.1,11.17,10
2008-11-17,51,8.6,1.3,2.0,11.17,8
2008-11-17,53,8.9,2.4,1.9,11.17,1
2008-11-17,53,10.5,7.1,3.5,11.17,7
2008-11-17,53,9.0,3.2,3.6,11.17,3
2008-11-17,51,9.2,3.7,1.8,11.17,9
2008-11-17,53,8.8,2.4,2.0,11.17,5
2008-11-17,53,9.3,0.2,2.0,11.17,2
2008-11-18,51,9.7,6.1,0.3,11.18,9
2008-11-18,51,10.4,8.7,0.5,11.18,6
2008-11-18,3,9.5,6.1,0.0,11.18,2
2008-11-18,3,11.3,7.7,0.0,11.18,10
2008-11-18,3,9.5,7.1,0.0,11.18,5
2008-11-18,51,10.9,6.3,0.4,11.18,7
2008-11-18,51,9.5,7.1,0.6,11.18,3
2008-11-18,3,9.7,5.7,0.0,11.18,8
2008-11-18,3,10.1,6.6,0.0,11.18,4
2008-11-18,51,10.3,5.2,0.3,11.18,1
2008-11-19,2,10.9,7.8,0.0,11.19,10
2008-11-19,3,10.2,7.3,0.0,11.19,5
2008-11-19,3,10.9,7.5,0.0,11.19,2
2008-11-19,3,10.3,6.9,0.0,11.19,9
2008-11-19,3,10.8,8.2,0.0,11.19,4
2008-11-19,3,10.5,5.6,0.0,11.19,1
2008-11-19,2,11.4,6.5,0.0,11.19,7
2008-11-19,51,10.8,9.1,0.1,11.19,6
2008-11-19,3,11.4,7.3,0.0,11.19,8
2008-11-19,51,9.9,7.7,0.1,11.19,3
2008-11-20,51,11.4,9.7,0.8,11.2,6
2008-11-20,2,8.9,6.7,0.0,11.2,2
2008-11-20,3,11.3,8.1,0.0,11.2,8
2008-11-20,3,12.2,7.0,0.0,11.2,7
2008-11-20,3,12.0,7.2,0.0,11.2,1
2008-11-20,3,10.8,8.3,0.0,11.2,5
2008-11-20,3,9.4,7.1,0.0,11.2,4
2008-11-20,3,11.9,8.8,0.0,11.2,10
2008-11-20,3,11.4,7.2,0.0,11.2,9
2008-11-20,51,10.8,8.6,1.6,11.2,3
2008-11-21,2,6.8,0.8,0.0,11.21,4
2008-11-21,3,10.6,3.4,0.0,11.21,9
2008-11-21,3,11.2,6.0,0.0,11.21,7
2008-11-21,3,8.8,2.2,0.0,11.21,3
2008-11-21,3,11.6,6.8,0.0,11.21,10
2008-11-21,51,10.7,3.0,0.3,11.21,1
2008-11-21,2,8.2,0.9,0.0,11.21,8
2008-11-21,51,9.6,2.7,0.1,11.21,5
2008-11-21,53,10.1,5.3,2.2,11.21,6
